Epoch: [0][141/200], lr: 0.00038	Time 0.086 (0.101)	Data 0.000 (0.006)	Loss 0.6876 (0.6950)	Prec@1 62.500 (46.743)	
Epoch: [0][142/200], lr: 0.00038	Time 0.086 (0.101)	Data 0.000 (0.006)	Loss 0.7036 (0.6950)	Prec@1 25.000 (46.591)	
Epoch: [0][143/200], lr: 0.00038	Time 0.067 (0.101)	Data 0.001 (0.006)	Loss 0.7019 (0.6951)	Prec@1 25.000 (46.441)	
Epoch: [0][144/200], lr: 0.00038	Time 0.071 (0.101)	Data 0.000 (0.006)	Loss 0.6932 (0.6951)	Prec@1 50.000 (46.466)	
Epoch: [0][145/200], lr: 0.00038	Time 0.080 (0.101)	Data 0.000 (0.006)	Loss 0.6956 (0.6951)	Prec@1 37.500 (46.404)	
Epoch: [0][146/200], lr: 0.00038	Time 0.077 (0.100)	Data 0.000 (0.006)	Loss 0.6917 (0.6950)	Prec@1 62.500 (46.514)	
Epoch: [0][147/200], lr: 0.00038	Time 0.076 (0.100)	Data 0.000 (0.006)	Loss 0.6916 (0.6950)	Prec@1 75.000 (46.706)	
Epoch: [0][148/200], lr: 0.00038	Time 0.079 (0.100)	Data 0.000 (0.006)	Loss 0.6931 (0.6950)	Prec@1 50.000 (46.728)	
Epoch: [0][149/200], lr: 0.00038	Time 0.068 (0.100)	Data 0.000 (0.006)	Loss 0.6932 (0.6950)	Prec@1 50.000 (46.750)	
Epoch: [0][150/200], lr: 0.00038	Time 0.069 (0.100)	Data 0.000 (0.006)	Loss 0.6935 (0.6950)	Prec@1 37.500 (46.689)	
Epoch: [0][151/200], lr: 0.00038	Time 0.076 (0.100)	Data 0.001 (0.006)	Loss 0.6943 (0.6950)	Prec@1 25.000 (46.546)	
Epoch: [0][152/200], lr: 0.00038	Time 0.126 (0.100)	Data 0.000 (0.006)	Loss 0.6931 (0.6950)	Prec@1 50.000 (46.569)	
Epoch: [0][153/200], lr: 0.00038	Time 0.071 (0.100)	Data 0.000 (0.006)	Loss 0.6940 (0.6950)	Prec@1 25.000 (46.429)	
Epoch: [0][154/200], lr: 0.00038	Time 0.081 (0.099)	Data 0.000 (0.006)	Loss 0.6931 (0.6950)	Prec@1 50.000 (46.452)	
Epoch: [0][155/200], lr: 0.00038	Time 0.076 (0.099)	Data 0.000 (0.006)	Loss 0.6933 (0.6949)	Prec@1 37.500 (46.394)	
Epoch: [0][156/200], lr: 0.00038	Time 0.088 (0.099)	Data 0.000 (0.006)	Loss 0.6939 (0.6949)	Prec@1 12.500 (46.178)	
Epoch: [0][157/200], lr: 0.00038	Time 0.069 (0.099)	Data 0.000 (0.006)	Loss 0.6931 (0.6949)	Prec@1 50.000 (46.203)	
Epoch: [0][158/200], lr: 0.00038	Time 0.077 (0.099)	Data 0.000 (0.006)	Loss 0.6934 (0.6949)	Prec@1 37.500 (46.148)	
Epoch: [0][159/200], lr: 0.00038	Time 0.069 (0.099)	Data 0.000 (0.006)	Loss 0.6925 (0.6949)	Prec@1 75.000 (46.328)	
Epoch: [0][160/200], lr: 0.00038	Time 0.077 (0.099)	Data 0.000 (0.006)	Loss 0.6931 (0.6949)	Prec@1 50.000 (46.351)	
Epoch: [0][161/200], lr: 0.00038	Time 0.083 (0.098)	Data 0.000 (0.006)	Loss 0.6914 (0.6949)	Prec@1 75.000 (46.528)	
Epoch: [0][162/200], lr: 0.00038	Time 0.071 (0.098)	Data 0.000 (0.006)	Loss 0.6932 (0.6949)	Prec@1 50.000 (46.549)	
Epoch: [0][163/200], lr: 0.00038	Time 0.082 (0.098)	Data 0.000 (0.005)	Loss 0.6985 (0.6949)	Prec@1 12.500 (46.341)	
Epoch: [0][164/200], lr: 0.00038	Time 0.070 (0.098)	Data 0.000 (0.005)	Loss 0.6895 (0.6948)	Prec@1 75.000 (46.515)	
Epoch: [0][165/200], lr: 0.00038	Time 0.081 (0.098)	Data 0.000 (0.005)	Loss 0.6932 (0.6948)	Prec@1 50.000 (46.536)	
Epoch: [0][166/200], lr: 0.00038	Time 0.075 (0.098)	Data 0.000 (0.005)	Loss 0.6909 (0.6948)	Prec@1 62.500 (46.632)	
Epoch: [0][167/200], lr: 0.00038	Time 0.074 (0.098)	Data 0.001 (0.005)	Loss 0.6958 (0.6948)	Prec@1 37.500 (46.577)	
Epoch: [0][168/200], lr: 0.00038	Time 0.071 (0.097)	Data 0.000 (0.005)	Loss 0.6960 (0.6948)	Prec@1 37.500 (46.524)	
Epoch: [0][169/200], lr: 0.00038	Time 0.082 (0.097)	Data 0.000 (0.005)	Loss 0.6904 (0.6948)	Prec@1 62.500 (46.618)	
Epoch: [0][170/200], lr: 0.00038	Time 0.078 (0.097)	Data 0.000 (0.005)	Loss 0.6932 (0.6948)	Prec@1 50.000 (46.637)	
Epoch: [0][171/200], lr: 0.00038	Time 0.072 (0.097)	Data 0.000 (0.005)	Loss 0.6994 (0.6948)	Prec@1 25.000 (46.512)	
Epoch: [0][172/200], lr: 0.00038	Time 0.073 (0.097)	Data 0.000 (0.005)	Loss 0.6932 (0.6948)	Prec@1 50.000 (46.532)	
Epoch: [0][173/200], lr: 0.00038	Time 0.085 (0.097)	Data 0.000 (0.005)	Loss 0.6904 (0.6948)	Prec@1 62.500 (46.624)	
